vessel_name;Регистровый номер;Номер ИМО;Бывшее название;Позывной;Порт приписки;Флаг;Символ класса;Переоборудование/модернизация существенного характера;Основной тип;Дата постройки;Страна постройки;Строительный номер;Дата значительной части;Значительная часть;Валовая вместимость;Чистая вместимость;Дедвейт;Водоизмещение;Длина наибольшая (теоретическая);Длина габаритная;Длина расчетная;Ширина габаритная;Высота борта;Осадка;Скорость;Тип силовой установки;Главные двигатели;Количество лопастей;Общая мощность генераторов;Главные котлы;Холодильная установка;Рабочая температура;Хладагенты;Радио-навигационное оборудование;Охлаждаемые грузовые помещения;Наливные танки;Количество палуб;Количество переборок;Число пассажиров коечные;Число пассажиров бескоечных;Спецперсонал;Грузовые люки (число и размер в свету);Стрелы;Краны;Запасы топлива;Типы топлива;Водяной балласт;Подогреватели;Характеристика снабжения;Категория якорных цепей;Калибр якорных цепей;Проект судна;Дата постройки (первое освидетельствование);Место постройки;Длина конструктивная;Ширина конструктивная;Высота надводного борта;Грузоподъемность;Количество поперечных переборок;Количество продольных переборок;Пассажировместимость;Экипаж;Орг. группа;Количество наливных танков;Суммарный объем наливных танков;Грузоподъемность первой стрелы;Грузоподъемность второй стрелы;Грузоподъемность третьей стрелы;Материал корпуса;Материал надстройки;Марка главной силовой установки;ГЭД, всего;ГЭД, кВт всех;ГЭС, кВт всех;Завод постройки;Город постройки;Завод достройки;Город достройки;Заложено;Спущено на воду;Построено;Владелец;Оператор;Регистрация;Бортовой номер;MMSI;Текущее состояние;Примечания;Количество движителей;Тип движителей;Количество ГЭД;Общая мощность ГЭД;Количество грузовых трюмов;Кубатура грузовых трюмов;Количество контейнеров;Тип контейнеров;Источник
;245634;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;;4.0;;1.0;0.0;;;Бензиновый;;;0.0;;;;;;;;;;;;;;;;;;;;;;;Вельбот 43;01.07.2017;Никольское;0.0;0.0;0.0;0.0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;АмГ-5М;;Honda BF10 D4 (подвесной);0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;245635;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;;4.0;;1.0;0.0;;;Бензиновый;;;37.0;;;;;;;;;;;;;;;;;;;;;;;Quintrex475 Coast Runner;01.07.2015;Воронеж;0.0;0.0;0.0;0.0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;АМГ;;YAMAHA F70AET;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;245636;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;;4.0;;1.0;0.0;;;Бензиновый;;;37.0;;;;;;;;;;;;;;;;;;;;;;; Quintrex475 Coast Runner;01.07.2016;Воронеж;0.0;0.0;0.0;0.0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;АМГ;;YAMAHA (подвесной);0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;245638;;;;;;;;;;;;;;0.0;0.0;0.0;1.0;;5.0;;2.0;0.0;;;Бензиновый;;;0.0;;;;;;;;;;;;;;;;;;;;;;;"""Спрут"" CN-540HL";01.07.2004;Санкт-Петербург;0.0;0.0;0.0;1.0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;надувное, пластиковое дно;;Yamaha F80AET (подвесной);0.0;0.0;0.2;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;245639;;;;;;;;;;;;;;0.0;0.0;0.0;1.0;;6.0;;1.0;0.0;;;Бензиновый;;;0.0;;;;;;;;;;;;;;;;;;;;;;;б/п;01.07.1995;Литва;0.0;0.0;0.0;0.0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;стеклопластик;;Yamaha (подвесной);0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;245640;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;;4.0;;1.0;0.0;;;Бензиновый;;;0.0;;;;;;;;;;;;;;;;;;;;;;;Вельбот 45М;01.07.2017;Никольское;0.0;0.0;0.0;0.0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;АмГ-5М;;Honda BF40А;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;245642;;;;;;;;;;;;;;0.0;0.0;0.0;1.0;;5.0;;2.0;0.0;;;Бензиновый;;;0.0;;;;;;;;;;;;;;;;;;;;;;;GRAND S 520;01.07.2013;Украина;0.0;0.0;0.0;0.0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;надувное, пластиковое дно;;Yamaha F80A (подвесной);0.0;0.0;0.2;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;245643;;;;;;;;;;;;;;0.0;0.0;0.0;2.0;;5.0;;2.0;0.0;;;Бензиновый;;;0.0;;;;;;;;;;;;;;;;;;;;;;;Посейдон 520;01.08.2017;Санкт-Петербург;0.0;0.0;0.0;1.0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;ПВХ;;HONDA BF20D (подвесной);0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;245644;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;;4.0;;1.0;0.0;;;Бензиновый;;;38.0;;;;;;;;;;;;;;;;;;;;;;;Прогресс-4;01.07.1977;Куйбышев;0.0;0.0;0.0;0.0;2;0;0;0;0.0;0;0.0;0.0;0.0;0.0;Д16АТ;;HONDA BF50А;0.0;0.0;0.1;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;245645;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;;4.0;;1.0;0.0;;;Бензиновый;;;38.0;;;;;;;;;;;;;;;;;;;;;;;Прогресс-4;01.07.1975;Куйбышев;0.0;0.0;0.0;0.0;2;0;0;0;0.0;0;0.0;0.0;0.0;0.0;Д16АТ;;Yamaha 40XМНS (подвесной);0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;245646;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;;4.0;;1.0;0.0;;;Бензиновый;;;38.0;;;;;;;;;;;;;;;;;;;;;;;Прогресс-4;01.07.1986;Куйбышев;0.0;0.0;0.0;0.0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;дюралюминий;;Yamaha 30HMHS (подвесной);0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;245648;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;;4.0;;1.0;0.0;;;Бензиновый;;;38.0;;;;;;;;;;;;;;;;;;;;;;;Прогресс-4;01.07.1977;Куйбышев;0.0;0.0;0.0;0.0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;Д16АТ;;SUZUKI DT30 (подвесной);0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;245649;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;;4.0;;1.0;0.0;;;Бензиновый;;;11.0;;;;;;;;;;;;;;;;;;;;;;;Прогресс-2;01.07.1991;Куйбышев;0.0;0.0;0.0;0.0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;дюралюминий;;Suzuki DT20 (подвесной);0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
Стр. № 301;245650;;;;Петрозаводск  ;;Р1,2 IV;;;;;301;;;598.0;0.0;0.0;310.0;;114.0;;7.0;2.0;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;3263;29.12.2017;"ООО ""Онежский ССЗ"", Петрозаводск";90.0;7.0;1.0;95.0;6;0;0;0;0.0;0;0.0;0.0;0.0;0.0;сталь РС А, РС В, РС Д;;;0.0;0.0;0.0;ООО «Онежский судостроительно-судоремонтный завод»; Петрозаводск;;;;2017-11-17;2017-12-29;;;РКО (РРР до 2022);;; Эксплуатируется ;"Проект: 3263
Длина речной части, м – 90,75.
Ширина речной части, м – 7,8.
Ширина пешеходного прохода, м – 1,75.
Осадка средняя при максимальной нагрузке, м – 0,50.
Водоизмещение порожнем, т – 204.

http://onegoshipyard.ru/press-centr/novo...vodska/";;;;;;;;;Fleetphoto и Речной регистр
;245651;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;;4.0;;1.0;0.0;;;Бензиновый;;;51.0;;;;;;;;;;;;;;;;;;;;;;;Berkut S-Jacket;01.07.2014;Санкт-Петербург;0.0;0.0;0.0;0.0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;АМг;;Yamaha 40XWS (подвесной);0.0;0.0;0.1;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;245652;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;;4.0;;1.0;0.0;;;Бензиновый;;;37.0;;;;;;;;;;;;;;;;;;;;;;; Quintrex475 Coast Runner;01.07.2010;Воронеж;0.0;0.0;0.0;0.0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;АМГ;;Merkury F60 ELPT EFI (подвесной);0.0;0.0;0.2;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;245653;;;;;;;;;;;;;;0.0;0.0;0.0;2.0;;5.0;;2.0;0.0;;;Бензиновый;;;0.0;;;;;;;;;;;;;;;;;;;;;;;ПОСЕЙДОН 520 M;01.07.2017;Санкт-Петербург;0.0;0.0;0.0;1.0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;ПВХ;;YAMAHA 55BEDS;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;245654;;;;;;;;;;;;;;2681.0;0.0;3127.0;4398.0;;114.0;;13.0;5.0;;;Дизельный;;;485.0;;;;;;;;;;;;;;;;;;;;;;;1557;01.07.1968;Горький;110.0;13.0;1.0;2991.0;8;0;0;11;0.0;0;0.0;0.0;0.0;0.0;Сталь;Сталь;6NVD 48-AU;0.0;0.0;150.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;245655;;;;;;;;;;;;;;0.0;0.0;0.0;1.0;;5.0;;2.0;0.0;;;Бензиновый;;;51.0;;;;;;;;;;;;;;;;;;;;;;;Berkut L-Jacket;01.07.2013;Санкт-Петербург;0.0;0.0;0.0;0.0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;Алюминий;;HONDA BF100А;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;245657;;;;;;;;;;;;;;0.0;0.0;0.0;1.0;;5.0;;2.0;0.0;;;Бензиновый;;;0.0;;;;;;;;;;;;;;;;;;;;;;;СЛК-580 Ламинария;01.07.2017;Петрозаводск;0.0;0.0;0.0;0.0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;стеклопластик;;Merkury F20 МLН;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;245658;;;;;;;;;;;;;;0.0;0.0;0.0;1.0;;5.0;;2.0;0.0;;;Бензиновый;;;0.0;;;;;;;;;;;;;;;;;;;;;;;СЛК-580 Ламинария;01.07.2017;Петрозаводск;0.0;0.0;0.0;0.0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;стеклопластик;;HONDA BF20D;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
Пк1;245659;;;;Санкт-Петербург  ;;Р1,2 I;;;;;15,16,17,18,19,20;;;55.0;0.0;9.0;83.0;;12.0;;2.0;0.0;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;1270;01.07.2016;"ООО ""Марина Сервис"", Санкт-Петербург";12.0;2.0;0.0;9.0;0;0;0;1;19.0;0;0.0;0.0;0.0;0.0;композитный;;;0.0;0.0;0.0;ООО «Марин-Сервис»; Санкт-Петербург;;;;;2016-01-01;;;РКО (РРР до 2022);;; Эксплуатируется ;;;;;;;;;;Fleetphoto и Речной регистр
;245660;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;;5.0;;1.0;0.0;;;Бензиновый;;;0.0;;;;;;;;;;;;;;;;;;;;;;;Тактика-500;01.07.2018;Сосновка;0.0;0.0;0.0;0.0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;АМг-5М;;Yamaha 55 BEDS;0.0;0.0;0.1;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
Ладожский;245661;;;UBDT2;Санкт-Петербург  ;;М3,0(ЛЁД30)А;;;;;302;;;510.0;0.0;127.0;502.0;;38.0;;9.0;3.0;;;Дизельный;;;0.0;;;;;;;;;;;;;;;;;;;;;;;3265;12.09.2019;АО «Онежский судостроительно-судоремонтный завод», Петрозаводск;36.0;9.0;1.0;60.0;4;0;84;13;0.0;0;56.0;0.0;0.0;0.0;сталь РСВ ГОСТ Р52927;сталь РСВ ГОСТ Р52927;6ЧН 12,6/15,5-295/1800-РД5;0.0;0.0;128.0;АО «Онежский судостроительно-судоремонтный завод»; Петрозаводск;;;2018-10-31;2019-06-14;2019-09-13;;;РКО (РРР до 2022);РМ-49-632;273211910; Эксплуатируется ;;;;;;;;;;Fleetphoto и Речной регистр
;245662;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;;4.0;;1.0;0.0;;;Бензиновый;;;0.0;;;;;;;;;;;;;;;;;;;;;;;Казанка 5М2;01.07.1984;Лениногорск;0.0;0.0;0.0;0.0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;дюралюминий;;TOHATSU M18 EPS (подвесной);0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;245664;;;;;;;;;;;;;;5.0;0.0;2.0;5.0;;9.0;;2.0;0.0;;;Дизельный;;;18.0;;;;;;;;;;;;;;;;;;;;;;;27127;01.07.2006;Новая Ладога;8.0;2.0;0.0;2.0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;сталь;;Д21А (2Ч10,5/12);0.0;0.0;1.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
Британия;245665;;;;Санкт-Петербург  ;;Р1,2А;;;;;11;;;47.0;0.0;6.0;38.0;;20.0;;5.0;1.0;;;Дизельный;;;120.0;;;;;;;;;;;;;;;;;;;;;;;2105;17.05.2018;"ООО ""РУСКОР"", Новая Ладога";19.0;4.0;0.0;0.0;4;0;50;2;0.0;0;2.0;0.0;0.0;0.0;сталь РС В ГОСТ Р52927-15;сталь;ЯМЗ 238ГМ2-2бр;0.0;0.0;1.4;ООО «Рускор»; Новая Ладога;;;;;2018-05-17;;;РКО (РРР до 2022);СЗ-22-3;; Эксплуатируется ;;;;;;;;;;Fleetphoto и Речной регистр
Ркм 2;245666;;;;Санкт-Петербург  ;;Р1,2А;;;;;12;;;47.0;0.0;6.0;38.0;;20.0;;5.0;1.0;;;Дизельный;;;120.0;;;;;;;;;;;;;;;;;;;;;;;2105;18.05.2018;"ООО ""РУСКОР"", Новая Ладога";19.0;4.0;0.0;0.0;4;0;50;2;0.0;0;3.0;0.0;0.0;0.0;сталь РС В ГОСТ Р 52927-1;сталь;ЯМЗ 238ГМ2-2бр;0.0;0.0;1.4;ООО «Рускор»; Новая Ладога;;;;;2018-05-18;;;РКО (РРР до 2022);СЗ-21-99;273416670; Эксплуатируется ;;;;;;;;;;Fleetphoto и Речной регистр
;245667;;;;;;;;;;;;;;0.0;0.0;0.0;1.0;;9.0;;1.0;0.0;;;Дизельный;;;0.0;;;;;;;;;;;;;;;;;;;;;;;б/п;01.07.2003;Новая Ладога;8.0;1.0;0.0;1.0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;сталь;;Д21А (2Ч10,5/12);0.0;0.0;1.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;245668;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;;6.0;;2.0;0.0;;;Бензиновый;;;0.0;;;;;;;;;;;;;;;;;;;;;;;СШАМ-22;01.07.1989;Ленинград;6.0;2.0;0.0;1.0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;АМг5М;;Л-6 (2Ч6,5/9);0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;245671;;;;;;;;;;;;;;5.0;0.0;2.0;2.0;;9.0;;2.0;0.0;;;Дизельный;;;18.0;;;;;;;;;;;;;;;;;;;;;;;27127;01.07.2003;Новая Ладога;8.0;2.0;0.0;2.0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;сталь;;4ЧСП 8,5/11;0.0;0.0;1.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;245681;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;;4.0;;1.0;0.0;;;Бензиновый;;;38.0;;;;;;;;;;;;;;;;;;;;;;;Прогресс-4;01.07.1973;Россия;0.0;0.0;0.0;0.0;2;0;0;0;0.0;0;0.0;0.0;0.0;0.0;дюраль;;YAMAHA (подвесной);0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;245682;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;;6.0;;2.0;0.0;;;Бензиновый;;;0.0;;;;;;;;;;;;;;;;;;;;;;;б/п;01.07.1989;Россия;0.0;0.0;0.0;0.0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;пластик;;Merkсury 25М;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;245684;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;;4.0;;1.0;0.0;;;Бензиновый;;;38.0;;;;;;;;;;;;;;;;;;;;;;;Прогресс-4;01.07.1975;Россия;0.0;0.0;0.0;0.0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;дюраль;;Yamaha 30HМНS;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;245685;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;;4.0;;1.0;0.0;;;Бензиновый;;;38.0;;;;;;;;;;;;;;;;;;;;;;;Прогресс-4;01.07.1974;Россия;0.0;0.0;0.0;0.0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;дюраль;;YAMAHA;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;245686;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;;4.0;;1.0;0.0;;;Бензиновый;;;38.0;;;;;;;;;;;;;;;;;;;;;;;Прогресс-4;01.07.1975;Россия;0.0;0.0;0.0;0.0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;дюраль;;YAMAHA;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;245687;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;;4.0;;1.0;0.0;;;Бензиновый;;;38.0;;;;;;;;;;;;;;;;;;;;;;;Прогресс-4;01.07.1978;Россия;0.0;0.0;0.0;0.0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;дюраль;;Маринер;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;245690;;;;;;;;;;;;;;0.0;0.0;0.0;1.0;;5.0;;1.0;0.0;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;Касатка 520;01.01.2017;Приморско-Ахтарск;0.0;0.0;0.0;0.0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;стеклопластик;;;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;245691;;;;;;;;;;;;;;0.0;0.0;0.0;1.0;;5.0;;1.0;0.0;;;Бензиновый;;;0.0;;;;;;;;;;;;;;;;;;;;;;;Касатка 520;01.01.2017;Приморско-Ахтарск;0.0;0.0;0.0;0.0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;стеклопластик;;Merkury 60 (подвесной);0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;245694;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;;5.0;;2.0;0.0;;;Бензиновый;;;0.0;;;;;;;;;;;;;;;;;;;;;;;Посейдон 520;28.04.2017;Российская Федерация;0.0;0.0;0.0;0.0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;ПВХ;;Yamaha 30HМНS;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;245695;;;;;;;;;;;;;;5.0;0.0;2.0;5.0;;9.0;;2.0;0.0;;;Дизельный;;;18.0;;;;;;;;;;;;;;;;;;;;;;;27127;01.07.1994;Новая Ладога;8.0;2.0;0.0;2.0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;сталь, Ст3сп5;;Д21А1;0.0;0.0;1.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;245696;;;;;;;;;;;;;;5.0;0.0;2.0;5.0;;9.0;;2.0;0.0;;;Дизельный;;;18.0;;;;;;;;;;;;;;;;;;;;;;;27127;01.07.1990;Новая Ладога;8.0;2.0;0.0;2.0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;сталь, Ст3сп5;;4ЧСП 8,5/11;0.0;0.0;1.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;245697;;;;;;;;;;;;;;5.0;0.0;0.0;5.0;;9.0;;2.0;0.0;;;Дизельный;;;18.0;;;;;;;;;;;;;;;;;;;;;;;27127;01.07.1984;Новая Ладога;8.0;2.0;0.0;2.0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;сталь, Ст3сп5;;4ЧСП 8,5/11;0.0;0.0;1.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;245698;;;;;;;;;;;;;;5.0;0.0;0.0;5.0;;9.0;;2.0;0.0;;;Дизельный;;;18.0;;;;;;;;;;;;;;;;;;;;;;;27127;01.07.2008;Новая Ладога;8.0;2.0;0.0;2.0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;сталь, Ст3сп5;;5Д4-4Ч8,5/11;0.0;0.0;1.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;245700;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;;4.0;;1.0;0.0;;;Бензиновый;;;0.0;;;;;;;;;;;;;;;;;;;;;;;B-BOAT43;01.07.2016;Россия;0.0;0.0;0.0;0.0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;АМг5М;;Yamaha F25DЕS;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;245703;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;;4.0;;1.0;0.0;;;Бензиновый;;;0.0;;;;;;;;;;;;;;;;;;;;;;;B-BOAT43;01.07.2015;Россия;0.0;0.0;0.0;0.0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;Алюминиевый сплав;;TOHATSU MFS DS;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;245705;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;;5.0;;1.0;0.0;;;Бензиновый;;;0.0;;;;;;;;;;;;;;;;;;;;;;;B-BOAT43;01.07.2015;Россия;0.0;0.0;0.0;0.0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;АМг5М;;YAMAHA F20 BMHS (подвесной);0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;245706;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;;4.0;;1.0;0.0;;;Бензиновый;;;11.0;;;;;;;;;;;;;;;;;;;;;;;Прогресс-2М;01.07.1989;Россия;0.0;0.0;0.0;0.0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;Д16АТ;;Merkury F20 (подвесной);0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;245707;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;;4.0;;1.0;0.0;;;Бензиновый;;;11.0;;;;;;;;;;;;;;;;;;;;;;;Прогресс-2;01.07.2002;Россия;0.0;0.0;0.0;0.0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;Д16АТ;;YAMAHA (подвесной);0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;245708;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;;4.0;;1.0;0.0;;;Бензиновый;;;11.0;;;;;;;;;;;;;;;;;;;;;;;Прогресс-2;01.07.1973;Россия;0.0;0.0;0.0;0.0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;Д16АТ;;HONDA BF20D (подвесной);0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;245709;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;;4.0;;1.0;0.0;;;Бензиновый;;;11.0;;;;;;;;;;;;;;;;;;;;;;;Прогресс-2М;01.07.1989;Россия;0.0;0.0;0.0;0.0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;Д16АТ;;SUZUKI;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;245710;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;;4.0;;1.0;0.0;;;Бензиновый;;;38.0;;;;;;;;;;;;;;;;;;;;;;;Прогресс-4;01.07.1975;Россия;0.0;0.0;0.0;0.0;2;0;0;0;0.0;0;0.0;0.0;0.0;0.0;Д16АТ;;MERCURY F30ELPT EFI (подвесной);0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;245712;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;;4.0;;1.0;0.0;;;Бензиновый;;;38.0;;;;;;;;;;;;;;;;;;;;;;;Прогресс-4;01.07.1993;Россия;0.0;0.0;0.0;0.0;2;0;0;0;0.0;0;0.0;0.0;0.0;0.0;Д16 АТ;;HONDA 20;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;245713;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;;4.0;;1.0;0.0;;;Бензиновый;;;38.0;;;;;;;;;;;;;;;;;;;;;;;Прогресс-4;01.07.1993;Россия;0.0;0.0;0.0;0.0;2;0;0;0;0.0;0;0.0;0.0;0.0;0.0;Д16АТ;;TOHATSU М25НS (подвесной);0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;245714;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;;5.0;;2.0;0.0;;;Бензиновый;;;0.0;;;;;;;;;;;;;;;;;;;;;;;Вьюга 550;01.07.2016;Россия;0.0;0.0;0.0;0.0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;АМг5М;;HONDA 15 L (подвесной);0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;245715;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;;4.0;;2.0;0.0;;;Бензиновый;;;0.0;;;;;;;;;;;;;;;;;;;;;;;Флинт 440RL;01.07.2012;Россия;0.0;0.0;0.0;0.0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;стеклопластик ПВХ;;SUZUKI DF6S (подвесной);0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;245717;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;;4.0;;1.0;0.0;;;Бензиновый;;;0.0;;;;;;;;;;;;;;;;;;;;;;;Виндбот 47S;01.07.2013;Россия;0.0;0.0;0.0;0.0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;АМг 5М;;Меркурий F40PT EFI;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;245718;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;;4.0;;1.0;1.0;;;Бензиновый;;;0.0;;;;;;;;;;;;;;;;;;;;;;;Биг Бустер;01.07.1990;Финляндия;0.0;0.0;0.0;0.0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;АМГ;;Yamaha F60CET (подвесной);0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
